,assets,income,expenses,irs_form
108,$476 ,"$5,662 ",,http://www.guidestar.org/FinDocuments/2017/473/995/2017-473995715-0f514ddc-Z.pdf
109,"$709,604 ","$584,831 ",,http://www.guidestar.org/FinDocuments/2017/421/574/2017-421574184-0f1089eb-9.pdf
110,"$2,530,158 ","$2,150,263 ",,http://www.guidestar.org/FinDocuments/2016/841/593/2016-841593046-0e855fe9-9.pdf
111,,,,
112,,,,
113,"$304,785 ","$507,744 ","$297,121 ",https://www.guidestar.org/FinDocuments/2017/680/572/2017-680572605-0f592c4c-Z.pdf
114,,,,
115,"$2,465,195 ","$1,603,776 ",,http://www.guidestar.org/FinDocuments/2016/841/274/2016-841274823-0e1f09ca-9.pdf
116,,"$20,000 ",,
117,"$384,157 ",,,https://www.guidestar.org/FinDocuments/2017/840/707/2017-840707228-0ed99334-9.pdf
118,"$14,844,241 ",,,https://www.guidestar.org/FinDocuments/2016/263/784/2016-263784465-0ec2959a-9.pdf
119,"$200,207 ",,,https://www.guidestar.org/FinDocuments/2017/462/043/2017-462043974-0f68fc5e-Z.pdf
120,"$2,176 ",,,https://www.guidestar.org/FinDocuments/2016/452/208/2016-452208855-0e4d0168-Z.pdf
121,"$463,338 ",,,https://www.guidestar.org/FinDocuments/2017/204/344/2017-204344263-0f5cc505-9O.pdf
122,"$27,738 ",,,https://www.guidestar.org/FinDocuments/2016/840/953/2016-840953270-0df49819-9O.pdf
123,"$103,966 ",,,https://www.guidestar.org/FinDocuments/2017/562/458/2017-562458121-0f5d3bda-Z.pdf
124,"$48,433 ","$225,000 ",,
125,"$2,687,607 ",,,https://www.guidestar.org/FinDocuments/2017/741/894/2017-741894594-0ee5ac46-9.pdf
126,"$930,788 ",,,https://www.guidestar.org/FinDocuments/2017/846/036/2017-846036443-0f69fcdc-9.pdf
127,"$4,218,603 ",,,https://www.guidestar.org/FinDocuments/2017/474/382/2017-474382124-0ecf9675-9.pdf
128,"$3,745,072 ",,,https://www.guidestar.org/FinDocuments/2017/310/932/2017-310932682-0e98aa08-9.pdf
129,"$166,049,745
",,,https://www.guidestar.org/FinDocuments/2016/204/510/2016-204510571-0e5971a0-9.pdf
130,"$2,960,534 ",,,http://www.guidestar.org/FinDocuments/2016/237/302/2016-237302195-0e402755-9.pdf
131,"$155,631,124 ",,,https://www.guidestar.org/FinDocuments/2016/530/205/2016-530205923-0e8d9458-9.pdf
132,"$1,051,812 ",,,https://www.guidestar.org/FinDocuments/2017/840/947/2017-840947696-0ee2887e-9.pdf
133,"$198,734 ","$450,000 ",,https://www.guidestar.org/FinDocuments/2017/593/738/2017-593738295-0f4ffb08-9.pdf
134,"$35,350,374 ",,,https://www.guidestar.org/FinDocuments/2016/251/873/2016-251873137-0e7865bb-F.pdf
135,"$83,312 ",,,https://www.guidestar.org/FinDocuments/2016/841/160/2016-841160764-0e6a4496-Z.pdf
136,$6 ,,,https://www.guidestar.org/FinDocuments/2017/471/716/2017-471716881-0ed2e1d8-Z.pdf
137,,,,
138,,,,
139,"$5,805,216 ",,,https://www.guidestar.org/FinDocuments/2016/841/143/2016-841143854-0e43b26f-9O.pdf
140,,,,
141,,,,https://www.guidestar.org/FinDocuments/2017/272/983/2017-272983937-0f4fbc66-F.pdf
142,,,,https://www.guidestar.org/FinDocuments/2005/200/266/2005-200266380-028e201c-9.pdf
143,,"$1,201,313 ","$822,320 ",https://www.guidestar.org/FinDocuments/2015/271/962/2015-271962968-0d2ba5a6-Z.pdf
144,,,,
145,"$136,177 ","$107,200 ",,https://www.guidestar.org/FinDocuments/2016/263/938/2016-263938168-0e55ab69-9.pdf
146,"$558,082 ","$1,727,000 ","$1,894,000 ",https://www.guidestar.org/FinDocuments/2016/841/558/2016-841558401-0e15ec44-9.pdf
147,"$63,381 ","$273,169 ","$26,694 ",https://www.guidestar.org/FinDocuments/2016/473/893/2016-473893175-0de8a068-9.pdf
148,,,,
149,,,,
150,"$119,506 ",,,https://www.guidestar.org/FinDocuments/2017/841/021/2017-841021140-0f511ae4-9.pdf
151,"$683,835 ",,,https://www.guidestar.org/FinDocuments/2017/473/919/2017-473919461-0eff0cfc-9.pdf
152,"$463,860 ",,,https://www.guidestar.org/FinDocuments/2016/846/036/2016-846036199-0ea64a2e-9.pdf
153,,,,
154,,,,
155,,,,https://www.guidestar.org/FinDocuments/2006/205/283/2006-205283548-03422b88-Z.pdf
